eid,bid,ans
20130702_135652,8390,20
20130702_135652,11823,20
20130702_135704,433,15
20130702_135704,8503,20
20130702_135652,16145,20
20130702_135652,7914,20
20130702_135704,43489,20
20130702_135652,5110,20
20130702_135652,18134,10
20130702_135652,13091,20
20130702_135652,4558,20
20130702_135652,14563,30
20130702_135704,6344,10
20130702_135652,16336,20
20130702_135652,13691,10
20130702_135652,13710,10
20130702_135652,16496,20
20130702_135652,15118,30
20130702_135704,62567,10
20130702_135704,8325,20
20130702_135652,15627,20
20130702_135652,3856,20
20130702_135652,11626,20
20130702_135652,15409,20
20130702_135652,9998,20
20130702_135704,8193,10
20130702_135652,2030,20
20130702_135704,81005,20
20130702_135652,18113,10
20130702_135704,47339,20
20130702_135652,13446,05
20130702_135704,17441,20
20130702_135704,5782,20
20130702_135652,13174,05
20130702_135704,56181,20
20130702_135652,15037,20
20130702_135704,2521,20
20130702_135704,4422,10
20130702_135652,12496,10
20130702_135704,39434,10
20130702_135652,8223,10
20130702_135704,4387,10
20130702_135652,2949,30
20130702_135652,16050,10
20130702_135652,13655,10
20130702_135704,17673,20
20130702_135652,13355,05
20130702_135652,12857,20
20130702_135652,17449,10
20130702_135704,24231,20
20130702_135704,4515,20
20130702_135652,11095,10
20130702_135704,5193,20
20130702_135704,16154,20
20130702_135652,17397,10
20130702_135652,13797,20
20130702_135704,26888,20
20130702_135704,584,10
20130702_135652,11249,10
20130702_135652,18161,10
20130702_135704,15964,20
20130702_135704,514,10
20130702_135652,13508,20
20130702_135652,16789,10
20130702_135652,4055,20
20130702_135704,43256,20
20130702_135652,9238,10
20130702_135704,44626,20
20130702_135652,10464,10
20130702_135652,12605,20
20130702_135652,9755,20
20130702_135652,18131,10
20130702_135652,15338,10
20130702_135652,17804,10
20130702_135652,12314,20
20130702_135704,79563,20
20130702_135652,18125,10
20130702_135704,20118,20
20130702_135652,1656,30
20130702_135652,2612,20
20130702_135704,17537,20
20130702_135652,191,10
20130702_135704,2489,10
20130702_135652,12762,20
20130702_135652,878,20
20130702_135704,15410,20
20130702_135704,36133,10
20130702_135652,3977,20
20130702_135704,21325,20
20130702_135652,9376,30
20130702_135652,10024,20
20130702_135652,1861,20
20130702_135652,16696,20
20130702_135704,74279,20
20130702_135652,15874,20
20130702_135652,12911,20
20130702_135652,10933,10
20130702_135704,66120,30
20130702_135652,17647,20
20130702_135652,1054,20
20130702_135704,38267,10
20130702_135704,11202,20
20130702_135652,15043,20
20130702_135704,17483,20
20130702_135652,3865,20
20130702_135704,17580,20
20130702_135652,15954,20
20130702_135652,13658,10
20130702_135652,18421,10
20130702_135652,1824,10
20130702_135652,17717,10
20130702_135652,4324,20
20130702_135652,12068,10
20130702_135704,6924,10
20130702_135652,15532,20
20130702_135652,14431,20
20130702_135652,4688,20
20130702_135652,2350,10
20130702_135652,4225,10
20130702_135704,49066,10
20130702_135652,18315,20
20130702_135704,87160,30
20130702_135652,418,10
20130702_135652,4219,10
20130702_135652,10031,20
20130702_135652,6748,20
20130702_135652,16430,20
20130702_135652,11128,20
20130702_135704,340,10
20130702_135652,15104,30
20130702_135704,16407,20
20130702_135704,16333,20
20130702_135704,10796,20
20130702_135652,1107,20
20130702_135704,50664,20
20130702_135652,3365,10
20130702_135652,10431,10
20130702_135652,12438,10
20130702_135704,2185,20
20130702_135652,8660,20
20130702_135652,16656,20
20130702_135652,3066,30
20130702_135704,63685,05
20130702_135652,12468,10
20130702_135704,47042,20
20130702_135652,12471,10
20130702_135652,12286,05
20130702_135704,286,10
20130702_135652,5192,20
20130702_135652,15271,30
20130702_135704,58593,20
20130702_135704,2606,20
20130702_135704,10464,10
20130702_135704,8272,20
20130702_135652,3389,20
20130702_135704,14973,20
20130702_135652,1288,20
20130702_135652,17100,20
20130702_135704,47347,20
20130702_135652,18181,10
20130702_135704,60019,20
20130702_135652,1881,00
20130702_135652,16647,20
20130702_135652,13367,05
20130702_135652,10156,20
20130702_135704,59265,20
20130702_135652,9658,20
20130702_135704,16527,20
20130702_135652,986,10
20130702_135704,44511,20
20130702_135704,74601,20
20130702_135652,5580,20
20130702_135652,9560,20
20130702_135704,6994,10
20130702_135652,4133,10
20130702_135652,10309,30
20130702_135652,1946,10
20130702_135704,2289,10
20130702_135652,3396,20
20130702_135652,8329,20
20130702_135704,15281,20
20130702_135704,32951,20
20130702_135704,1300,20
20130702_135652,13652,10
20130702_135704,16631,20
20130702_135704,77559,20
20130702_135652,1864,20
20130702_135652,10361,10
20130702_135652,9557,20
20130702_135652,17789,10
20130702_135652,15144,20
20130702_135652,2242,10
20130702_135652,17979,10
20130702_135652,7888,20
20130702_135652,3692,30
20130702_135652,14697,20
20130702_135704,5373,20
20130702_135704,17507,10
20130702_135704,16950,20
20130702_135652,1941,10
20130702_135652,13425,05
20130702_135652,13997,20
20130702_135704,16022,20
20130702_135704,5739,20
20130702_135652,10956,10
20130702_135652,15666,20
20130702_135652,10290,30
20130702_135704,30914,10
20130702_135652,11382,20
20130702_135652,9248,20
20130702_135652,268,20
20130702_135704,30630,10
20130702_135652,652,10
20130702_135652,3852,20
20130702_135704,30394,20
20130702_135652,18069,20
20130702_135704,17393,20
20130702_135652,17446,20
20130702_135704,16932,20
20130702_135704,15802,20
20130702_135652,10114,20
20130702_135704,13928,20
20130702_135652,17585,10
20130702_135704,310,10
20130702_135704,4252,20
20130702_135652,8237,20
20130702_135652,8820,20
20130702_135704,50553,10
20130702_135652,11101,10
20130702_135652,7550,20
20130702_135652,16997,20
20130702_135652,14260,20
20130702_135704,14137,20
20130702_135652,12365,10
20130702_135652,12805,20
20130702_135652,8262,20
20130702_135704,87870,20
20130702_135652,3640,20
20130702_135652,2019,10
20130702_135704,31789,20
20130702_135652,7536,20
20130702_135704,53139,20
20130702_135652,4599,20
20130702_135652,15179,30
20130702_135652,13628,10
20130702_135652,9224,20
20130702_135652,16400,20
20130702_135704,403,05
20130702_135652,3750,10
20130702_135652,13697,10
20130702_135652,14327,20
20130702_135652,10675,20
20130702_135652,8686,20
20130702_135704,16530,20
20130702_135652,11136,10
20130702_135652,10326,10
20130702_135652,15329,10
20130702_135652,17961,10
20130702_135652,16284,20
20130702_135652,13473,05
20130702_135704,233,10
20130702_135652,18375,20
20130702_135652,248,10
20130702_135652,16278,20
20130702_135704,47425,20
20130702_135652,15257,20
20130702_135704,606,10
20130702_135704,15831,20
20130702_135704,48502,10
20130702_135704,80576,20
20130702_135704,46928,20
20130702_135652,3500,20
20130702_135652,9683,30
20130702_135652,2836,30
20130702_135652,17263,10
20130702_135652,18455,10
20130702_135704,8976,20
20130702_135652,10968,10
20130702_135704,46120,05
20130702_135704,18631,20
20130702_135704,8412,20
20130702_135652,13991,20
20130702_135704,7032,10
20130702_135652,12898,10
20130702_135704,43632,10
20130702_135652,3877,10
20130702_135652,14571,30
20130702_135652,11154,20
20130702_135652,9229,20
20130702_135652,10135,20
20130702_135652,9680,30
20130702_135652,12051,15
20130702_135652,3346,10
20130702_135704,54489,20
20130702_135652,7924,20
20130702_135652,16828,20
20130702_135652,11701,20
20130702_135704,77155,20
20130702_135704,73544,20
20130702_135652,13361,05
20130702_135704,48015,05
20130702_135704,10455,10
20130702_135652,16635,20
20130702_135704,38149,10
20130702_135704,11395,20
20130702_135652,12975,20
20130702_135704,15553,20
20130702_135704,30223,20
20130702_135652,18126,20
20130702_135704,298,20
20130702_135704,3912,10
20130702_135652,8249,20
20130702_135652,11884,20
20130702_135652,13395,05
20130702_135704,49084,10
20130702_135652,12966,20
20130702_135652,14368,20
20130702_135704,17568,20
20130702_135704,6374,10
20130702_135704,69642,10
20130702_135652,3408,20
20130702_135704,10308,20
20130702_135652,17184,30
20130702_135704,81850,20
20130702_135652,803,10
20130702_135652,1696,20
20130702_135652,9272,20
20130702_135652,4158,20
20130702_135652,16124,20
20130702_135652,8991,10
20130702_135652,17400,10
20130702_135652,9221,10
20130702_135652,16918,20
20130702_135652,4583,20
20130702_135652,16570,20
20130702_135704,14176,20
20130702_135704,49017,10
20130702_135652,18458,10
20130702_135704,80850,20
20130702_135652,17936,10
20130702_135704,5723,20
20130702_135652,14804,05
20130702_135652,17741,10
20130702_135704,14179,20
20130702_135652,12828,20
20130702_135652,17780,10
20130702_135704,44378,20
20130702_135652,17994,10
20130702_135652,18232,20
20130702_135704,26941,20
